DateTime,price,url,model,year,odometer,condition,cylinders,drive,fuel,paint color,size,title status,transmission,type,VIN
"
2021-12-1910:16
",30,https://losangeles.craigslist.org/wst/tag/d/lomita-giant-panda-with-cub-plush-new/7422759268.html,,,,,,,,,,,,,
"
2021-11-0321:16
",120,https://orangecounty.craigslist.org/tag/d/mission-viejo-endangered-board-game-new/7403267289.html,,,,like new,,,,,,,,,
"
2021-12-0621:15
",20,https://orangecounty.craigslist.org/bks/d/garden-grove-the-art-of-kung-fu-panda/7417506305.html,,,,like new,,,,,,,,,
"
2021-12-1512:28
",1,https://orangecounty.craigslist.org/for/d/tustin-pyro/7421215201.html,,,,,,,,,,,,,
"
2021-12-0509:00
",0,https://orangecounty.craigslist.org/wad/d/fullerton-we-buy-cars-cash-for-car/7416775697.html,,,,,,,,,,,,,
"
2021-11-2514:40
",20,https://inlandempire.craigslist.org/for/d/lake-elsinore-isopods-and-springtails/7412653666.html,,,,,,,,,,,,,
"
2021-11-1808:53
",10,https://inlandempire.craigslist.org/grd/d/ontario-isopods-millipedes-springtails/7409625395.html,,,,,,,,,,,,,
"
2021-12-1507:44
",1,https://santabarbara.craigslist.org/wad/d/santa-barbara-instant-cash-for-junk/7421063618.html,,,,,,,,,,,,,
"
2021-11-3002:01
",1,https://santabarbara.craigslist.org/wad/d/santa-barbara-instant-cash-for-junk/7414438808.html,,,,,,,,,,,,,
