DateTime,price,url,model,year,odometer,condition,cylinders,drive,fuel,paint color,size,title status,transmission,type,VIN,make / manufacturer,model name / number,size / dimensions,media type,bicycle frame material,bicycle type,frame size,wheel size,brake type,electric assist,handlebar type,suspension,number available
"
2021-12-0106:03
",10,https://losangeles.craigslist.org/lgb/clt/d/ghost-rider-comic-book-marvel/7414941147.html,,,,like new,,,,,,,,,,Marvel,Marvel-1,0,0,0,0,0,0,0,0,0,0,0
"
2021-12-1900:06
",1940,https://losangeles.craigslist.org/sgv/bik/d/pasadena-ghost-kato-fs-mountain-bike/7422628262.html,,,,,,,,,,,,,,Ghost,Kato,0,0,aluminum,mountain,Medium,27.5 in,0,0,0,0,0
"
2021-12-1822:05
",75,https://losangeles.craigslist.org/lac/fuo/d/los-angeles-clear-chair-acrylic-like/7422618662.html,,,,like new,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
"
2021-12-1114:25
",75,https://losangeles.craigslist.org/sfv/spo/d/burbank-ghost-hunting-blind/7419599462.html,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
"
2021-12-1719:12
",6500,https://losangeles.craigslist.org/lac/wto/d/los-angeles-21-rolls-royce-ghost-2021/7422196756.html,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
"
2021-12-1716:12
",50,https://losangeles.craigslist.org/sfv/vgm/d/santa-clarita-ghost-of-tsushima/7422146579.html,,,,new,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
"
2021-12-1711:39
",149888,https://losangeles.craigslist.org/sfv/ctd/d/costa-mesa-2014-rolls-royce-ghost/7422029224.html,2014 rolls royce ghost,2014,40000,excellent,12 cylinders,,gas,black,,clean,automatic,,,0,0,0,0,0,0,0,0,0,0,0,0,0
"
2021-12-1709:45
",155000,https://losangeles.craigslist.org/wst/ctd/d/los-angeles-2015-rolls-royce-ghost/7421968534.html,2015 Rolls-Royce Ghost,2015,47000,,12 cylinders,rwd,gas,black,,clean,automatic,sedan,SCA664S57FUX53123,0,0,0,0,0,0,0,0,0,0,0,0,0
"
2021-12-1709:35
",300,https://losangeles.craigslist.org/wst/fuo/d/los-angeles-set-of-acrylic-louis-ghost/7421962925.html,,,,excellent,,,,,,,,,,Unknown,Ghost Chair,0,0,0,0,0,0,0,0,0,0,0
"
2021-11-2709:48
",600,https://losangeles.craigslist.org/sfv/msg/d/sherman-oaks-vantage-the-ghost-mij/7413289916.html,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
"
2021-12-1116:18
",30,https://losangeles.craigslist.org/sfv/clo/d/studio-city-black-cole-haan-mens-115m/7419639159.html,,,,good,,,,,,,,,,Cole Haan,C11052,11.5M,0,0,0,0,0,0,0,0,0,0
"
2021-12-0310:25
",149888,https://losangeles.craigslist.org/sfv/ctd/d/costa-mesa-2013-rolls-royce-ghost/7415971723.html,2013 rolls royce ghost,2013,19000,excellent,12 cylinders,,gas,black,,clean,automatic,,,0,0,0,0,0,0,0,0,0,0,0,0,0
"
2021-11-2317:16
",139990,https://losangeles.craigslist.org/lac/ctd/d/los-angeles-2013-rolls-royce-ghost-only/7412008497.html,2013 ROLLS ROYCE GHOST TWIN TURBO,2013,47000,like new,,,gas,,,clean,automatic,,,0,0,0,0,0,0,0,0,0,0,0,0,0
"
2021-11-2712:26
",161994,https://losangeles.craigslist.org/wst/ctd/d/culver-city-2015-rolls-royce-ghost-base/7413376618.html,2015 Rolls-Royce Ghost Base,2015,43301,excellent,12 cylinders,rwd,gas,white,full-size,clean,automatic,sedan,SCA664S52FUX53109,0,0,0,0,0,0,0,0,0,0,0,0,0
"
2021-12-1300:51
",5,https://losangeles.craigslist.org/wst/fuo/d/torrance-knotts-berry-farm-framed-art/7420094493.html,,,,excellent,,,,,,,,,,KNOTT’S BERRY FARM,Calico Train,4” X 6”,0,0,0,0,0,0,0,0,0,0
"
2021-12-2313:29
",1449,https://losangeles.craigslist.org/lac/ele/d/van-nuys-brand-new-playstation-ps5/7424435260.html,,,,new,,,,,,,,,,Sony,PlayStation 5,0,0,0,0,0,0,0,0,0,0,0
