DateTime,price,url,model,year,odometer,condition,cylinders,drive,fuel,paint color,size,title status,transmission,type,VIN,make / manufacturer,model name / number,size / dimensions
"
2021-12-2117:25
",821,https://losangeles.craigslist.org/sgv/bfd/d/la-puente-countertop-refrigerated-cake/7423743061.html,,,,new,,,,,,,,,,Countertop Refrigerated Cake,Commercial  Display Case,COOLER  Bakery display
"
2021-11-2323:42
",12,https://losangeles.craigslist.org/sfv/hsh/d/los-angeles-cake-plates-for-sale/7412074858.html,,,,,,,,,,,,,,0,0,0
"
2021-12-0416:43
",15,https://losangeles.craigslist.org/sfv/clt/d/canoga-park-vintage-mid-century-kromex/7416596086.html,,,,,,,,,,,,,,0,0,0
"
2021-12-2114:30
",5,https://losangeles.craigslist.org/wst/for/d/los-angeles-85th-birthday-cake-topper/7423683894.html,,,,,,,,,,,,,,0,0,0
"
2021-11-2913:19
",65,https://losangeles.craigslist.org/sfv/for/d/woodland-hills-items-musical-happy/7414249631.html,,,,excellent,,,,,,,,,,MIKASA & OTHERS,HAPPY BIRTHDAY,0
"
2021-11-2913:27
",14,https://losangeles.craigslist.org/sfv/art/d/tarzana-styrofoam-cake-disks-rounds/7414253605.html,,,,,,,,,,,,,,0,0,0
"
2021-12-1007:20
",150,https://losangeles.craigslist.org/sgv/clt/d/beautiful-cake-plate-with-dome/7418947365.html,delivery available,deli,,excellent,,,,,,,,,,0,0,0
"
2021-12-2103:17
",15,https://losangeles.craigslist.org/wst/for/d/los-angeles-brand-new-and-cake-toppers/7423412602.html,,,,new,,,,,,,,,,0,0,0
"
2021-11-2122:51
",10,https://losangeles.craigslist.org/wst/hsh/d/pomona-usa-made-new-snapware-airtight/7411189264.html,,,,new,,,,,,,,,,0,0,0
"
2021-12-2021:24
",450,https://losangeles.craigslist.org/lac/for/d/los-angeles-salutes-cake-salute-color-1/7423383583.html,,,,,,,,,,,,,,0,0,0
"
2021-12-2017:40
",10,https://losangeles.craigslist.org/sfv/for/d/sun-valley-mikasa-bone-china-cake-plate/7423336391.html,,,,like new,,,,,,,,,,MIKASA,0,11 1/2 round
"
2021-12-2015:21
",359,https://losangeles.craigslist.org/sgv/bfd/d/la-puente-bakery-cake-warmer-hot-food/7423291762.html,,,,new,,,,,,,,,,Bakery Cake Warmer,hot food display,buffet countertop food warmer
"
2021-12-0110:09
",25,https://losangeles.craigslist.org/sfv/hsh/d/chatsworth-libbey-selene-glass-cake/7415067755.html,,,,new,,,,,,,,,,Libbey,Selene,0
"
2021-12-2010:02
",74,https://losangeles.craigslist.org/sfv/atq/d/encino-rare-vintage-lodge-cast-iron-32d/7423140235.html,,,,new,,,,,,,,,,lodge,32d,0
"
2021-12-2009:16
",40,https://losangeles.craigslist.org/sfv/hsh/d/valencia-pampered-chef-bundt-cake-pan/7423114951.html,,,,excellent,,,,,,,,,,Pampered Chef,0,0
"
2021-12-0418:52
",50,https://losangeles.craigslist.org/sgv/clt/d/norwalk-vintage-cake-plates/7416629005.html,,,,,,,,,,,,,,0,0,0
"
2021-12-1915:07
",8,https://losangeles.craigslist.org/sfv/bks/d/valencia-cook-yourself-thin-faster-have/7422873676.html,,,,excellent,,,,,,,,,,0,0,0
"
2021-12-0620:01
",30,https://losangeles.craigslist.org/wst/hsh/d/santa-monica-cake-stand-glass-by-1175/7417492095.html,,,,like new,,,,,,,,,,0,Impression Glass,5 x 11.75
"
2021-11-2409:40
",13000,https://losangeles.craigslist.org/sfv/mcy/d/glendale-cake-kalk-electric-dirt-bike/7412225507.html,street legal,stre,140,,,,electric,,,,other,,,0,0,0
"
2021-11-2211:33
",48,https://losangeles.craigslist.org/lgb/hsh/d/long-beach-french-vintage-arcopal/7411424862.html,,,,excellent,,,,,,,,,,0,0,0
"
2021-11-2807:57
",1000,https://losangeles.craigslist.org/sgv/for/d/inflatable-cake-jumper-bouncer/7413635784.html,,,,fair,,,,,,,,,,0,0,0
"
2021-12-1907:46
",15,https://losangeles.craigslist.org/wst/for/d/gardena-wood-metal-cake-stand-wedding/7422697755.html,,,,,,,,,,,,,,0,0,0
"
2021-11-2523:29
",10,https://losangeles.craigslist.org/sfv/for/d/north-hills-wilton-pumpkin-pie-cake-pan/7412729922.html,,,,,,,,,,,,,,0,0,0
"
2021-11-2512:59
",15,https://losangeles.craigslist.org/sfv/for/d/north-hills-wilton-star-cake-pans-piece/7412630367.html,,,,,,,,,,,,,,0,0,0
"
2021-11-2523:28
",15,https://losangeles.craigslist.org/sfv/for/d/north-hills-wilton-mini-cake-pans-piece/7412729894.html,,,,,,,,,,,,,,0,0,0
"
2021-11-2512:59
",10,https://losangeles.craigslist.org/sfv/for/d/north-hills-wilton-tree-cake-pan/7412630332.html,,,,,,,,,,,,,,0,0,0
"
2021-11-2512:51
",15,https://losangeles.craigslist.org/sfv/for/d/north-hills-nordic-ware-harvest-pumpkin/7412628451.html,,,,,,,,,,,,,,0,0,0
"
2021-12-1322:44
",395,https://losangeles.craigslist.org/wst/hsh/d/los-angeles-acrylic-cake-pedstal-set-of/7420531930.html,,,,,,,,,,,,,,0,0,0
"
2021-12-1809:50
",350,https://losangeles.craigslist.org/wst/hsd/d/los-angeles-event-decor-prop/7422383742.html,,,,new,,,,,,,,,,good floral,cake stand (set of 5),36”x16” 30”x15”
"
2021-11-1907:29
",15,https://losangeles.craigslist.org/sgv/hsh/d/arcadia-babycakes-cake-pop-machine/7410021654.html,,,,excellent,,,,,,,,,,Babycakes,0,0
"
2021-12-1716:55
",4,https://losangeles.craigslist.org/sgv/bks/d/west-covina-chocolate-cake-doctor-anne/7422160056.html,,,,like new,,,,,,,,,,0,0,0
"
2021-12-1715:07
",1494,https://losangeles.craigslist.org/sgv/bfd/d/covina-countertop-refrigerated-curved/7422122830.html,,,,new,,,,,,,,,,Countertop Refrigerated Curved,Glass Cake Display Case,COOLER Circular  Floor Cake
"
2021-12-1712:07
",8,https://losangeles.craigslist.org/sfv/hsh/d/canoga-park-nordic-ware-cake-pops/7422043375.html,,,,new,,,,,,,,,,Nordic Ware,0,0
"
2021-11-2521:57
",15,https://losangeles.craigslist.org/sfv/hsh/d/lenox-cake-plate/7412722369.html,,,,excellent,,,,,,,,,,0,0,0
"
2021-12-1617:36
",35,https://losangeles.craigslist.org/sfv/atq/d/burbank-lamb-cake-mold/7421750873.html,,,,,,,,,,,,,,0,0,0
"
2021-12-1615:22
",0,https://losangeles.craigslist.org/sfv/hsh/d/valencia-metal-cake-pans-photos-10-each/7421707024.html,,,,excellent,,,,,,,,,,0,0,0
"
2021-12-1614:21
",20,https://losangeles.craigslist.org/wst/for/d/los-angeles-gold-and-rhinestone-cake/7421682869.html,,,,excellent,,,,,,,,,,0,0,0
"
2021-11-2017:54
",35,https://losangeles.craigslist.org/lac/for/d/los-angeles-cake-plate-12platter/7410759111.html,,,,,,,,,,,,,,0,0,"12"""
"
2021-11-2106:06
",25,https://losangeles.craigslist.org/sfv/art/d/north-hollywood-vtg-cake-cupcake-toppers/7410855838.html,,,,new,,,,,,,,,,0,0,0
"
2021-12-2315:17
",5390,https://losangeles.craigslist.org/sgv/bfd/d/covina-dough-mixers-grinder-bakery/7424471644.html,,,,new,,,,,,,,,,Dough Spiral Mixers Grinder,Bakery Mixer Sheeter Pizza,Pasta Maker Noodle Machine
"
2021-12-0308:49
",80,https://losangeles.craigslist.org/sgv/app/d/monterey-park-breadman-convection-bread/7415913578.html,,,,new,,,,,,,,,,BreadmanUltimate,TR2500BC,17 x 10 x 13 inches
"
2021-12-2314:41
",1296,https://losangeles.craigslist.org/sgv/bfd/d/covina-commercial-top-loading-back-bar/7424460142.html,,,,new,,,,,,,,,,Top Loading Back Bar,Beer Bottle Cooler,Deep Well Horizontal Slide Lid
"
2021-12-0311:31
",65,https://losangeles.craigslist.org/wst/atq/d/redondo-beach-grunstadt-art-nouveau/7416011695.html,,,,,,,,,,,,,,0,0,0
"
2021-11-2412:27
",1000,https://losangeles.craigslist.org/sfv/msg/d/north-hollywood-lets-dance-dj-service/7412306554.html,,,,,,,,,,,,,,0,0,0
"
2021-12-0312:20
",20,https://losangeles.craigslist.org/lgb/hsh/d/harbor-city-new-sunbeam-piece-bake-set/7416039289.html,,,,new,,,,,,,,,,Sunbeam,0,5 piece bake set
"
2021-12-2312:43
",359,https://losangeles.craigslist.org/sgv/bfd/d/covina-commercial-restaurant-booths/7424417632.html,,,,new,,,,,,,,,,Commercial Restaurant Booths,Vertical Channel Dine tables,RESTAURANT EQUIPMENT
"
2021-12-1811:03
",0,https://losangeles.craigslist.org/lac/grd/d/los-angeles-clonesseed-junky-genetics/7422422853.html,,,,,,,,,,,,,,0,0,0
"
2021-12-1811:31
",30,https://losangeles.craigslist.org/wst/fuo/d/marina-del-rey-large-glass-bell-jar/7422436795.html,,,,like new,,,,,,,,,,0,0,0
"
2021-12-2312:25
",999,https://losangeles.craigslist.org/wst/bfd/d/one-door-glass-door-refrigerator/7424411030.html,,,,new,,,,,,,,,,Chef AAA,FREE SHIPPING,BRAND NEW
"
2021-12-2312:07
",747,https://losangeles.craigslist.org/sgv/bfd/d/covina-countertop-desktop-refrigerated/7424403487.html,,,,new,,,,,,,,,,Desktop Refrigerated Display,GLASS MERCHANDISER COOLER,Show Case Merchand
"
2021-12-2311:00
",1450,https://losangeles.craigslist.org/lac/bfd/d/covina-salad-sandwich-prep-table/7424374977.html,,,,new,,,,,,,,,,Salad Sandwich Prep Table,Refrigerator,RESTAURANT EQUIPMENT
"
2021-12-2311:01
",990,https://losangeles.craigslist.org/lac/bfd/d/covina-nsf-refrigerator-glass-door-beer/7424375422.html,,,,new,,,,,,,,,,Nsf Refrigerator Glass Door,Beer Flower Cooler refrigerators,RESTAURANT EQUIPMENT
"
2021-12-2310:59
",1590,https://losangeles.craigslist.org/sgv/bfd/d/covina-commercial-reach-in-freezer/7424374515.html,,,,new,,,,,,,,,,Commercial Reach In Freezer,Refrigerator Refrigerated Cooler,RESTAURANT EQUIPMENT
"
2021-12-2310:58
",1021,https://losangeles.craigslist.org/sgv/bfd/d/covina-show-bakery-pastry-deli-case/7424374104.html,,,,new,,,,,,,,,,SHOW BAKERY PASTRY DELI,REFRIGERATOR refrigerated,RESTAURANT EQUIPMENT
"
2021-12-2310:55
",2418,https://losangeles.craigslist.org/sgv/bfd/d/covina-commercial-open-refrigeration/7424372880.html,,,,new,,,,,,,,,,Commercial Open Refrigeration,Display Case,Enclosed Concession Catering
"
2021-12-2310:32
",8230,https://losangeles.craigslist.org/sgv/bfd/d/covina-honey-fruit-press-crusher/7424362334.html,,,,new,,,,,,,,,,HONEY Fruit Press Crusher,Grinder Burger Toaster Baking,RESTAURANT EQUIPMENT
"
2021-12-2108:21
",20,https://losangeles.craigslist.org/sfv/for/d/chatsworth-new-beautiful-compact/7423503188.html,,,,new,,,,,,,,,,0,0,0
"
2021-12-2309:56
",30,https://losangeles.craigslist.org/sfv/atq/d/burbank-set-antique-baking-molds/7424345247.html,,,,,,,,,,,,,,0,0,0
"
2021-12-2309:56
",4998,https://losangeles.craigslist.org/lac/bfd/d/atosa-mpf-inch-pizza-prep-table/7424345027.html,delivery available,deli,,new,,,,,,,,,,Atosa USA,MPF8203,40.7(h) x 93(w) x 33(d)
"
2021-12-1421:08
",40,https://losangeles.craigslist.org/sfv/for/d/burbank-wedding/7420955961.html,,,,new,,,,,,,,,,0,0,0
"
2021-12-2307:00
",0,https://losangeles.craigslist.org/wst/fod/d/wilmington-managers-sale-commercial/7424264329.html,,,,new,,,,,,,,,,containers container storage,equipment boxes cans shipping,office industrial commercial
"
2021-12-2305:57
",10,https://losangeles.craigslist.org/wst/for/d/los-angeles-cupcake-supplies/7424242514.html,,,,new,,,,,,,,,,0,0,0
"
2021-12-1015:36
",0,https://losangeles.craigslist.org/lgb/for/d/whittier-trackless-train/7419203607.html,,,,,,,,,,,,,,0,0,0
"
2021-12-1721:42
",22,https://losangeles.craigslist.org/sfv/hsh/d/van-nuys-vintage-wasserbadform-never/7422222700.html,,,,new,,,,,,,,,,Kaiser,Art. No. 610924/2-1/4,"8""W x 8""D x 7""H"
"
2021-12-2222:31
",75,https://losangeles.craigslist.org/wst/for/d/manhattan-beach-xl-apothecary-glass-jar/7424194222.html,,,,excellent,,,,,,,,,,0,0,0
"
2021-12-1921:59
",0,https://losangeles.craigslist.org/lac/bks/d/los-angeles-bundle-lot-cookbooks/7422965698.html,,,,,,,,,,,,,,0,0,0
"
2021-12-2221:21
",2,https://losangeles.craigslist.org/sgv/hsh/d/monterey-park-plates-lids-cookware/7424185631.html,,,,new,,,,,,,,,,0,0,0
"
2021-12-2221:10
",0,https://losangeles.craigslist.org/wst/bfs/d/gardena-custom-treats/7424184283.html,delivery available,deli,,new,,,,,,,,,,0,0,0
"
2021-12-0317:26
",200,https://losangeles.craigslist.org/lac/for/d/glendale-58-pcs-vintage-national-gold/7416173235.html,,,,new,,,,,,,,,,National,Dunham pattern,0
