DateTime,price,url,model,year,odometer,condition,cylinders,drive,fuel,paint color,size,title status,transmission,type,VIN,make / manufacturer,model name / number,size / dimensions
"
2021-12-1312:36
",400,https://losangeles.craigslist.org/wst/vgm/d/los-angeles-midway-arcade/7420346090.html,,,,,,,,,,,,,,0,0,0
"
2021-11-2512:21
",1000,https://losangeles.craigslist.org/lgb/ele/d/san-pedro-arcade1-star-wars-video/7412620971.html,delivery available,deli,,excellent,,,,,,,,,,arcade1,star wars,0
"
2021-12-2022:34
",0,https://losangeles.craigslist.org/sgv/wan/d/pasadena-new-pin-cola-virtual/7423392180.html,,,,new,,,,,,,,,,0,0,0
"
2021-12-2022:34
",99,https://losangeles.craigslist.org/sgv/vgm/d/pasadena-legends-gamer-pro-se-tabletop/7423392150.html,,,,like new,,,,,,,,,,0,0,0
"
2021-11-2715:51
",10000,https://losangeles.craigslist.org/sgv/wan/d/private-collector-pays-cash-for-your/7413462455.html,,,,,,,,,,,,,,0,0,0
"
2021-12-0708:00
",1299,https://losangeles.craigslist.org/lac/vgm/d/los-angeles-arctic-thunder-arcade-game/7417626022.html,delivery available,deli,,,,,,,,,,,,0,0,0
"
2021-11-2811:16
",3399,https://losangeles.craigslist.org/lac/vgm/d/los-angeles-shoot-to-win-basketball/7413729983.html,delivery available,deli,,,,,,,,,,,,0,0,0
"
2021-12-0708:01
",999,https://losangeles.craigslist.org/lac/vgm/d/stacker-self-redemption-arcade-game/7417626472.html,,,,,,,,,,,,,,0,0,0
"
2021-11-2017:29
",350,https://losangeles.craigslist.org/sfv/vgm/d/van-nuys-pandoras-box-3d-2021-hdmi/7410752304.html,,,,,,,,,,,,,,0,0,0
"
2021-12-2016:14
",1399,https://losangeles.craigslist.org/ant/sgd/d/newbury-park-new-in-box-classic-video/7423310341.html,,,,new,,,,,,,,,,0,412 Game Multicade,0
"
2021-12-2014:13
",4200,https://losangeles.craigslist.org/lgb/sgd/d/fullerton-new-digital-pinball-800-games/7423265097.html,,,,new,,,,,,,,,,0,0,0
"
2021-12-2013:33
",2995,https://losangeles.craigslist.org/sfv/sgd/d/mission-hills-new-pool-table-new/7423247344.html,,,,new,,,,,,,,,,Titan,0,7 foot or 8 foot
"
2021-12-2012:46
",1800,https://losangeles.craigslist.org/lgb/fuo/d/tustin-arcade-ultimate/7423225017.html,,,,excellent,,,,,,,,,,0,0,0
"
2021-12-2012:43
",275,https://losangeles.craigslist.org/sfv/tag/d/burbank-pop-shot-home-dual-shot/7423223740.html,,,,like new,,,,,,,,,,Pop-A-Shot,Home Dual Shot Basketball Arcade,"45"" wide x 88"" long"
"
2021-12-1107:01
",0,https://losangeles.craigslist.org/wst/wan/d/lomita-wanted-80s-arcade-games/7419376505.html,,,,,,,,,,,,,,0,0,0
"
2021-12-1007:15
",1299,https://losangeles.craigslist.org/sgv/tag/d/pasadena-star-wars-limited-edition/7418945125.html,,,,new,,,,,,,,,,0,0,0
"
2021-12-1913:20
",850,https://losangeles.craigslist.org/wst/vgm/d/los-angeles-ms-pac-man-galaga-pac-man/7422835906.html,,,,like new,,,,,,,,,,Namco,0,38x30x22
"
2021-11-2013:47
",20,https://losangeles.craigslist.org/sfv/vgm/d/van-nuys-arcade-pedal-box-for-sega/7410671339.html,,,,,,,,,,,,,,0,0,0
"
2021-11-2013:47
",20,https://losangeles.craigslist.org/sfv/vgm/d/van-nuys-13-inch-arcade-crt-tube-pin/7410671409.html,,,,,,,,,,,,,,0,0,0
"
2021-12-1908:27
",475,https://losangeles.craigslist.org/sfv/tag/d/encino-arcade-up-galaga-arcade-game-new/7422713745.html,,,,new,,,,,,,,,,Arcade Up,0,0
"
2021-12-1521:49
",2400,https://losangeles.craigslist.org/lac/vgm/d/chatsworth-global-vr-beach-head-2000/7421387242.html,,,,good,,,,,,,,,,Global VR,0,0
"
2021-12-1607:28
",500,https://losangeles.craigslist.org/lac/vgm/d/los-angeles-arcade-fight-stick/7421474789.html,,,,,,,,,,,,,,0,0,0
"
2021-12-0712:27
",1,https://losangeles.craigslist.org/sfv/vgm/d/glendale-arcade-machine-custom-mame/7417777612.html,delivery available,deli,,new,,,,,,,,,,Custom Gaming Creations,0,0
