DateTime,price,url,model,year,odometer,condition,cylinders,drive,fuel,paint color,size,title status,transmission,type,VIN,engine displacement (CC),make / manufacturer,model name / number,size / dimensions
"
2021-12-0611:41
",50,https://losangeles.craigslist.org/lgb/pts/d/triumph-spitfire-metal-fan/7417293233.html,,,,like new,,,,,,,,,,0,Triumph,spitfire,0
"
2021-12-0611:14
",125,https://losangeles.craigslist.org/lgb/pts/d/bellflower-triumph-tr6-center-bar/7417277883.html,,,,good,,,,,,,,,,0,Triumph,TR6,0
"
2021-12-0611:13
",500,https://losangeles.craigslist.org/lgb/pts/d/bellflower-triumph-tr4a-hs6-carburetors/7417277349.html,,,,excellent,,,,,,,,,,0,Triumph,HS6,0
"
2021-12-0611:05
",100,https://losangeles.craigslist.org/lgb/pts/d/bellflower-rear-bumper-tr4-4a-tr250/7417272874.html,,,,good,,,,,,,,,,0,Triumph,TR4/4A/250,0
"
2021-12-0610:58
",100,https://losangeles.craigslist.org/lgb/pts/d/bellflower-triumph-spitfire-top-frame/7417267851.html,,,,good,,,,,,,,,,0,Triumph,Spitfire,0
"
2021-12-0610:57
",150,https://losangeles.craigslist.org/lgb/pts/d/bellflower-triumph-tr2-3a-3b-top-frame/7417267745.html,,,,good,,,,,,,,,,0,Triumph,TR2-3B,0
"
2021-12-0610:57
",150,https://losangeles.craigslist.org/lgb/pts/d/bellflower-triumph-jack-ratchet/7417267268.html,,,,excellent,,,,,,,,,,0,Triumph,Jack/Ratchet,21 inches extended
"
2021-12-0610:35
",1000,https://losangeles.craigslist.org/lgb/pts/d/bellflower-triumph-tr3-3a-3b-4a/7417254869.html,,,,excellent,,,,,,,,,,0,Triumph,TR3/4,0
"
2021-11-2212:57
",100,https://losangeles.craigslist.org/lgb/pts/d/bellflower-triumph-gt6-distributor-and/7411468857.html,,,,excellent,,,,,,,,,,0,Triumph,GT6,0
"
2021-11-2411:05
",250,https://losangeles.craigslist.org/lgb/pts/d/bellflower-triumph-tr6-fan-extension/7412268837.html,,,,like new,,,,,,,,,,0,Triumph,TR6,0
"
2021-12-1510:18
",100,https://losangeles.craigslist.org/lgb/pts/d/bellflower-triumph-tr7-gauge-cluster/7421148162.html,,,,good,,,,,,,,,,0,Triumph,TR7,0
"
2021-12-1510:04
",200,https://losangeles.craigslist.org/lgb/pts/d/bellflower-tr7-tr8-gas-tank/7421140648.html,,,,like new,,,,,,,,,,0,Triumph,TR7/TR8,0
"
2021-12-1510:04
",45,https://losangeles.craigslist.org/lgb/pts/d/bellflower-triumph-tr6-fan/7421140235.html,,,,excellent,,,,,,,,,,0,Triumph,TR6,0
"
2021-12-1510:04
",75,https://losangeles.craigslist.org/lgb/pts/d/bellflower-triumph-tr2-tr3-starting/7421140140.html,,,,excellent,,,,,,,,,,0,Triumph,TR2/3,0
"
2021-12-2209:38
",4900,https://losangeles.craigslist.org/sfv/mpo/d/ventura-2015-triumph-900-scrambler/7423949187.html,,,,,,,,,,,,,,0,0,0,0
"
2021-11-2411:35
",600,https://losangeles.craigslist.org/lac/pts/d/los-angeles-triumph-spitfire-factory/7412283295.html,,,,,,,,,,,,,,0,0,0,0
"
2021-11-2412:37
",40,https://losangeles.craigslist.org/lac/pts/d/los-angeles-triumph-gt6-mk1-mk-spitfire/7412311225.html,,,,,,,,,,,,,,0,0,0,0
"
2021-12-0813:59
",50,https://losangeles.craigslist.org/lac/pts/d/los-angeles-triumph-tr4-tr4a-tr250-rear/7418273849.html,,,,,,,,,,,,,,0,0,0,0
"
2021-12-2116:51
",200,https://losangeles.craigslist.org/lac/mpo/d/los-angeles-triumph-seat-oem/7423733331.html,,,,like new,,,,,,,,,,0,0,0,0
"
2021-12-0219:58
",175,https://losangeles.craigslist.org/wst/msg/d/lomita-peavey-triumph-60-tube-guitar/7415761065.html,,,,,,,,,,,,,,0,0,0,0
"
2021-12-2116:04
",2220,https://losangeles.craigslist.org/lgb/bfd/d/los-angeles-nsf-door-pizza-preparation/7423718006.html,,,,new,,,,,,,,,,0,Chef AAA,FREE SHIPPING,BRAND NEW
"
2021-12-2115:18
",3040,https://losangeles.craigslist.org/lgb/bfd/d/los-angeles-nsf-open-merchandiser/7423701988.html,,,,new,,,,,,,,,,0,Chef AAA,Brand New,Free Shipping
"
2021-12-2113:00
",5995,https://losangeles.craigslist.org/sfv/mcd/d/las-vegas-2014-triumph-thunderbird-lt/7423644684.html,2014 Triumph Thunderbird LT ABS,2014,74204,,,,gas,blue,,clean,other,,,0,0,0,0
"
2021-12-2112:34
",1850,https://losangeles.craigslist.org/lgb/bfd/d/double-swing-door-glass-door/7423633240.html,,,,new,,,,,,,,,,0,Chef AAA,Brand New,Free Shipping
